order_id,order_date,customer_id,customer_email,product_name,category,quantity,unit_price,revenue,store_name,shipping_city,shipping_state,shipping_zip
ORD-596249,2026-05-17,CUST00930,cust678@example.com,Outdoor Rug 5 x 7,Garden Tools,1,119.0,119.0,EastsideOutfitters,Denver,AZ,82140
ORD-341736,2026-05-17,CUST00380,cust1948@example.com,Adirondack-Chair,Grills & BBQ,1,149.5,149.5,SouthernShed,Boston,TX,80236
ORD-607719,2026-05-17,CUST01706,cust580@example.com,LED-String-Lights,Grills & BBQ,2,24.99,49.98,EastsideOutfitters,Seattle,NC,88222
ORD-478411,2026-05-17,CUST00599,cust562@example.com,CHARCOAL GRILL,Patio Heaters,0,199.0,199.0,SouthernShed,Boston,NC,26591
ORD-889359,2026-05-17,CUST00698,cust962@example.com,Pruning Shears,Grills & BBQ,4,18.75,75.0,NorthernYards,Denver,OR,47268
ORD-600935,2026-05-17,CUST00311,cust1290@example.com,Adirondack Chair,Grills & BBQ,2,149.5,299.0,MidwestHome,Denver,TX,85631
ORD-189318,2026-05-17,CUST00463,cust1221@example.com,Garden Hose 50ft,Home Decor,2,29.99,59.98,WestPatio,Atlanta,CO,89471
ORD-564226,2026-05-17,CUST00204,cust1272@example.com,,Grills & BBQ,6,24.99,149.94,SouthernShed,Denver,WA,84531
ORD-792509,2099-13-45,CUST01217,cust321@example.com,Adirondack Chair,Lighting,1,149.5,149.5,EastsideOutfitters,Austin,NC,19838
ORD-342720,2026-05-17,CUST00542,cust1408@example.com,LED-String-Lights,Patio Heaters,1,24.99,24.99,MidwestHome,Boston,GA,19329
ORD-942956,2026-05-17,CUST01693,cust306@example.com,garden hose 50ft,Grills & BBQ,1,29.99,29.99,NorthernYards,Austin,FL,94886
ORD-273982,2026-05-17,CUST01411,cust900@example.com,LED-String-Lights,Garden Tools,3,24.99,74.97,WestPatio,Denver,OR,47828
ORD-624783,2026-05-17,CUST00661,cust1822@example.com,outdoor rug 5x7,Home Decor,2,119.0,238.0,EastsideOutfitters,Austin,OR,15224
ORD-195763,2026-05-17,CUST01683,cust1948@example.com,Garden Hose 50 ft,Garden Tools,3,29.99,89.97,MidwestHome,Austin,California,86955
ORD-900177,2026-05-17,CUST00893,cust372@example.com,CHARCOAL GRILL,Patio Heaters,2,199.0,398.0,WestPatio,Austin,GA,46458
ORD-592841,2026-05-17,CUST00844,cust1757@example.com,FIRE PIT,Patio Heaters,1,179.0,179.0,WestPatio,Denver,MA,23710
ORD-794769,2026-05-17,CUST01987,cust517@example.com,Ceramic  Planter,Lighting,1,34.5,34.5,MidwestHome,Austin,TX,51224
ORD-789606,2026-05-17,CUST01021,cust741@example.com,outdoor rug 5x7,Patio Heaters,2,119.0,238.0,WestPatio,Austin,FL,77952
ORD-313446,2026-05-17,CUST00249,cust1804@example.com,LED-String-Lights,Outdoor Furniture,1,24.99,24.99,MidwestHome,Seattle,WA,67424
ORD-844261,2026-05-17,CUST01724,cust191@example.com,CHARCOAL GRILL,Outdoor Furniture,2,199.0,398.0,WestPatio,Austin,NC,63476
ORD-779172,2026-05-17,CUST01710,cust1445@example.com,CHARCOAL GRILL,Lighting,5,199.0,995.0,WestPatio,Seattle,WA,76698
ORD-578975,2026-05-17,CUST01770,cust1529@example.com,Outdoor Rug 5x7,Outdoor Furniture,1,119.0,119.0,EastsideOutfitters,Atlanta,OR,76616
ORD-456385,2026-05-17,CUST01352,cust1716@example.com,outdoor rug 5x7,Lighting,3,119.0,357.0,SouthernShed,Atlanta,WA,49132
ORD-664742,2026-05-17,CUST01781,cust933@example.com,pruning shears,Grills & BBQ,1,18.75,18.75,SouthernShed,Miami,NC,59441
ORD-501574,2026-05-17,CUST00781,cust1445@example.com,garden hose 50ft,Lighting,1,29.99,29.99,SouthernShed,Atlanta,AZ,71993
ORD-138817,2026-05-17,CUST00205,cust1791@example.com,charcoal grill ,Home Decor,5,199.0,995.0,WestPatio,Austin,IL,23154
ORD-857537,2026-05-17,CUST00543,cust962@example.com,CHARCOAL GRILL,Garden Tools,4,199.0,796.0,MidwestHome,Boston,NY,19807
ORD-516791,2026-05-17,CUST01472,cust1955@example.com,adirondack chair,Lighting,4,149.5,598.0,MidwestHome,Austin,NC,59808
ORD-747453,2026-05-17,CUST00202,cust1530@example.com,Adirondack Chair,Patio Heaters,2,149.5,299.0,NorthernYards,Atlanta,WA,39817
ORD-274446,2026-05-17,CUST00299,cust735@example.com,LED String Lights,Grills & BBQ,1,24.99,24.99,MidwestHome,Atlanta,CA,48452
ORD-693418,2026-05-17,CUST01020,cust1270@example.com,Charcoal Grill,Home Decor,1,199.0,199.0,SouthernShed,Seattle,OR,60140
ORD-583550,2026-05-17,CUST01120,cust1846@example.com,led string lights,Grills & BBQ,1,24.99,24.99,NorthernYards,Atlanta,CA,70981
ORD-462351,2026-05-17,CUST00408,cust936@example.com,PATIO HEATER,Lighting,2,249.0,498.0,WestPatio,Austin,CO,42780
ORD-348728,2026-05-17,CUST01349,cust45@example.com,Ceramic  Planter,Lighting,1,34.5,34.5,EastsideOutfitters,Austin,WA,48696
ORD-693419,2026-05-17,CUST00449,cust1244@example.com,PATIO UMBRELLA,Patio Heaters,3,89.99,269.97,SouthernShed,Miami,WA,40162
ORD-362801,2026-05-17,CUST00903,cust81@example.com,charcoal grill ,Outdoor Furniture,1,199.0,199.0,MidwestHome,Denver,MA,94717
ORD-867934,2026-05-17,CUST01611,cust360@example.com,Charcoal Grill,Home Decor,4,199.0,796.0,EastsideOutfitters,Miami,IL,64460
ORD-626169,2026-05-17,CUST01648,cust1529@example.com,LED String Lights,Outdoor Furniture,1,24.99,24.99,WestPatio,Austin,GA,48684
ORD-247594,2026-05-17,CUST00809,cust750@example.com,Garden Hose 50 ft,Outdoor Furniture,3,29.99,89.97,EastsideOutfitters,Miami,CO,83048
ORD-229592,2026-05-17,CUST01308,cust1198@example.com,pruning shears,Garden Tools,2,18.75,37.5,NorthernYards,Boston,MA,44362
ORD-345180,2026-05-17,CUST01327,cust1875@example.com,Pruning Shears,Outdoor Furniture,2,18.75,37.5,WestPatio,Boston,NC,52992
ORD-416869,2026-05-17,CUST00481,cust1009@example.com,Ceramic Planter,Home Decor,1,34.5,34.5,SouthernShed,Atlanta,CA,49893
ORD-575679,2026-05-17,CUST01489,cust859@example.com,fire-pit,Grills & BBQ,5,179.0,895.0,WestPatio,Boston,AZ,80804
ORD-203831,2026-05-17,CUST00909,cust1414@example.com,pruning shears,Lighting,5,18.75,93.75,SouthernShed,Denver,WA,14288
ORD-204180,2026-05-17,CUST00389,cust125@example.com,fire-pit,Outdoor Furniture,4,179.0,716.0,WestPatio,Austin,MA,57012
ORD-794963,2026-05-17,CUST00258,cust1612@example.com,Garden Hose 50 ft,Home Decor,2,29.99,59.98,SouthernShed,Austin,CA,16629
ORD-970127,2026-05-17,CUST01845,cust1586@example.com,Outdoor Rug 5x7,Home Decor,2,119.0,238.0,NorthernYards,Denver,FL,53064
ORD-251716,2026-05-17,CUST00270,cust1354@example.com,charcoal grill ,Outdoor Furniture,1,199.0,199.0,EastsideOutfitters,Seattle,NY,24408
ORD-717457,2026-05-17,CUST00233,cust1520@example.com,Fire Pit,Patio Heaters,1,179.0,179.0,NorthernYards,Atlanta,CA,26614
ORD-570050,2026-05-17,CUST00089,cust454@example.com,fire-pit,Patio Heaters,2,179.0,358.0,MidwestHome,Denver,GA,76039
ORD-580292,2026-05-17,CUST01459,cust1406@example.com,Patio Umbrella,Lighting,6,89.99,539.94,NorthernYards,Austin,CO,65872
ORD-437758,2026-05-17,CUST01459,cust1297@example.com,Patio Heater,Garden Tools,1,249.0,249.0,WestPatio,Miami,WA,91830
ORD-656329,2026-05-17,CUST01747,cust1625@example.com,led string lights,Patio Heaters,2,24.99,49.98,MidwestHome,Boston,CO,22999
ORD-325468,2026-05-17,CUST00852,cust1695@example.com,ceramic planter,Patio Heaters,4,34.5,138.0,NorthernYards,Denver,CO,54424
ORD-547494,2026-05-17,CUST00175,cust138@example.com,fire-pit,Outdoor Furniture,1,179.0,179.0,WestPatio,Austin,NY,72163
ORD-880758,2026-05-17,CUST00251,cust1151@example.com,Fire Pit,Lighting,2,179.0,358.0,EastsideOutfitters,Boston,OR,83608
ORD-886730,2026-05-17,CUST01184,cust640@example.com,Ceramic  Planter,Home Decor,1,34.5,34.5,SouthernShed,Seattle,WA,88696
ORD-788637,2026-05-17,CUST00571,cust753@example.com,Pruning Shears,Home Decor,3,18.75,56.25,SouthernShed,Atlanta,IL,82910
ORD-986209,2026-05-17,CUST01348,cust54@example.com,Outdoor Rug 5 x 7,Patio Heaters,2,119.0,238.0,EastsideOutfitters,Austin,MA,82972
ORD-289179,2026-05-17,CUST00294,cust13@example.com,LED-String-Lights,Home Decor,3,24.99,74.97,WestPatio,Austin,IL,56009
ORD-248766,2026-05-17,CUST00323,cust860@example.com,Patio Umbrella,Garden Tools,3,89.99,269.97,EastsideOutfitters,Boston,FL,59308
ORD-440140,2026-05-17,CUST00102,cust323@example.com,patio-heater,Patio Heaters,1,249.0,249.0,NorthernYards,Denver,CA,30392
ORD-564637,2026-05-17,CUST00234,cust442@example.com,ceramic planter,Garden Tools,2,34.5,69.0,WestPatio,Austin,CO,45804
ORD-397005,2026-05-17,CUST01228,cust452@example.com,PATIO HEATER,Outdoor Furniture,2,249.0,498.0,NorthernYards,Seattle,WA,15952
ORD-416061,2026-05-17,CUST00360,cust246@example.com,Garden Hose 50ft,Grills & BBQ,3,29.99,89.97,WestPatio,Miami,WA,ABC12
ORD-837852,2026-05-17,CUST01520,cust148@example.com,Garden Hose 50 ft,Outdoor Furniture,2,29.99,59.98,WestPatio,Austin,MA,56421
ORD-582087,2026-05-17,CUST00593,cust1454@example.com,adirondack chair,Outdoor Furniture,2,149.5,299.0,WestPatio,Austin,OR,63008
ORD-440544,2026-05-17,CUST00217,cust181@example.com,charcoal grill ,Grills & BBQ,2,199.0,398.0,WestPatio,Miami,AZ,57428
ORD-519902,2026-05-17,CUST00345,cust454@example.com,Outdoor Rug 5x7,Outdoor Furniture,1,119.0,119.0,MidwestHome,Boston,WA,54500
ORD-219565,2026-05-17,CUST01322,cust1490@example.com,Outdoor Rug 5 x 7,Grills & BBQ,1,119.0,119.0,SouthernShed,Austin,IL,56019
ORD-253557,2026-05-17,CUST01583,cust155@example.com,LED String Lights,Patio Heaters,1,24.99,24.99,WestPatio,Atlanta,NY,95918
ORD-891093,2026-05-17,CUST00662,cust1302@example.com,patio-heater,Patio Heaters,2,249.0,498.0,EastsideOutfitters,Seattle,OR,94278
ORD-561124,2099-13-45,CUST00636,cust1212@example.com,adirondack chair,Lighting,2,149.5,299.0,WestPatio,Austin,WA,46002
ORD-159653,2026-05-17,CUST00948,cust1217@example.com,FIRE PIT,Home Decor,1,179.0,179.0,MidwestHome,Boston,TX,90610
ORD-143015,2026-05-17,CUST00923,cust309@example.com,Pruning Shears,Outdoor Furniture,1,18.75,18.75,EastsideOutfitters,Boston,GA,75715
ORD-188425,2026-05-17,CUST01249,cust900@example.com,Outdoor Rug 5 x 7,Grills & BBQ,1,119.0,119.0,EastsideOutfitters,Denver,FL,67377
ORD-396635,2026-05-17,CUST01326,cust108@example.com,ceramic planter,Garden Tools,3,34.5,103.5,NorthernYards,Denver,MA,88366
ORD-199096,2026-05-17,CUST01789,cust1976@example.com,Outdoor Rug 5 x 7,Grills & BBQ,1,119.0,119.0,EastsideOutfitters,Austin,WA,96057
ORD-711046,2026-05-17,CUST01452,cust803@example.com,CHARCOAL GRILL,Outdoor Furniture,1,199.0,199.0,EastsideOutfitters,Miami,MA,96787
ORD-494976,2026-05-17,CUST01324,cust1869@example.com,Fire Pit,Patio Heaters,2,179.0,358.0,WestPatio,Miami,AZ,99838
ORD-479404,2026-05-17,CUST00394,cust1941@example.com, Patio  Umbrella ,Grills & BBQ,1,89.99,89.99,SouthernShed,Seattle,FL,54791
ORD-180913,2026-05-17,CUST01795,cust78@example.com,LED String Lights,Home Decor,2,24.99,49.98,SouthernShed,Miami,NC,79013
ORD-495019,2026-05-17,CUST01477,cust1657@example.com,Charcoal Grill,Lighting,1,199.0,199.0,NorthernYards,Atlanta,AZ,91885
ORD-481995,2026-05-17,CUST00634,cust480@example.com,garden hose 50ft,Lighting,2,29.99,59.98,SouthernShed,Denver,AZ,68841
ORD-811256,2026-05-17,CUST01979,cust1030@example.com,PATIO HEATER,Grills & BBQ,2,249.0,498.0,SouthernShed,Miami,WA,60052
ORD-245121,2026-05-17,CUST01733,cust1914@example.com,LED String Lights,Home Decor,2,24.99,49.98,NorthernYards,Denver,IL,82684
ORD-187949,2026-05-17,CUST01939,cust1702@example.com,CHARCOAL GRILL,Grills & BBQ,2,199.0,398.0,WestPatio,Denver,NC,29313
ORD-127965,2026-05-17,CUST00768,cust791@example.com,Ceramic Planter,Grills & BBQ,1,34.5,34.5,NorthernYards,Denver,IL,40903
ORD-203896,2026-05-17,CUST01555,cust1426@example.com,Fire Pit,Patio Heaters,1,179.0,179.0,WestPatio,Atlanta,WA,71925
ORD-745239,2026-05-17,CUST01247,cust1124@example.com,Patio Umbrella,Home Decor,1,89.99,89.99,WestPatio,Austin,FL,29597
ORD-913875,2026-05-17,CUST01276,cust860@example.com,LED String Lights,Lighting,1,24.99,24.99,NorthernYards,Austin,CA,41252
ORD-977330,2026-05-17,CUST00880,cust1472@example.com,Pruning Shears,Outdoor Furniture,2,18.75,37.5,MidwestHome,Denver,OR,41711
ORD-352249,2026-05-17,CUST00139,cust1073@example.com,PATIO HEATER,Home Decor,1,249.0,249.0,MidwestHome,Miami,MA,21221
ORD-924613,2026-05-17,CUST00765,cust1302@example.com,Outdoor Rug 5 x 7,Garden Tools,1,119.0,119.0,NorthernYards,Denver,GA,15706
ORD-926823,2026-05-17,CUST01506,cust213@example.com,adirondack chair,Garden Tools,1,149.5,149.5,SouthernShed,Austin,MA,92346
ORD-469412,2026-05-17,CUST00981,cust952@example.com,outdoor rug 5x7,Patio Heaters,3,119.0,357.0,SouthernShed,Seattle,NY,99742
,2026-05-17,CUST01056,cust1815@example.com,Pruning Shears,Lighting,1,18.75,18.75,MidwestHome,Atlanta,CA,36144
ORD-365618,2026-05-17,CUST01638,cust680@example.com,patio umbrella,Garden Tools,1,89.99,89.99,WestPatio,Atlanta,CA,95948
ORD-879414,2026-05-17,CUST01893,cust1418@example.com,pruning shears,Home Decor,1,18.75,18.75,EastsideOutfitters,Austin,NY,75038
ORD-862400,2026-05-17,CUST00164,cust602@example.com,Ceramic Planter,Garden Tools,2,34.5,69.0,EastsideOutfitters,Denver,NY,81496
ORD-567576,2026-05-17,CUST01489,cust720@example.com,patio-heater,Garden Tools,2,249.0,498.0,MidwestHome,Atlanta,AZ,68183
ORD-387892,2026-05-17,CUST01392,cust1051@example.com,Patio Umbrella,Grills & BBQ,2,89.99,179.98,NorthernYards,Seattle,CO,57619
ORD-989894,2026-05-17,CUST01322,cust138@example.com,patio-heater,Garden Tools,3,249.0,747.0,EastsideOutfitters,Atlanta,CA,26545
ORD-694799,2026-05-17,CUST01176,cust910@example.com,patio umbrella,Grills & BBQ,2,89.99,179.98,MidwestHome,Denver,IL,58760
ORD-517368,2026-05-17,CUST01061,cust1507@example.com,fire-pit,Lighting,1,179.0,179.0,MidwestHome,Austin,TX,13396
ORD-374492,2026-05-17,CUST01006,cust1422@example.com,LED-String-Lights,Grills & BBQ,2,24.99,49.98,NorthernYards,Seattle,OR,47431
ORD-994253,2026-05-17,CUST01982,cust180@example.com,adirondack chair,Garden Tools,1,149.5,149.5,EastsideOutfitters,Boston,AZ,68341
ORD-168093,2026-05-17,CUST01435,cust1458@example.com,Outdoor Rug 5 x 7,Patio Heaters,1,119.0,119.0,SouthernShed,Denver,WA,30644
ORD-633469,2026-05-17,CUST00740,cust1619@example.com,Garden Hose 50ft,Home Decor,6,29.99,179.94,MidwestHome,Denver,NY,41029
ORD-590110,2026-05-17,CUST01469,cust634@example.com,Outdoor Rug 5x7,Patio Heaters,2,119.0,238.0,WestPatio,Miami,TX,18617
ORD-530749,2026-05-17,CUST01393,cust152@example.com,Ceramic  Planter,Home Decor,1,34.5,34.5,EastsideOutfitters,Seattle,IL,94192
ORD-969325,2026-05-17,CUST00114,cust1030@example.com,Outdoor Rug 5 x 7,Outdoor Furniture,2,119.0,238.0,MidwestHome,Seattle,NY,66704
ORD-418897,2026-05-17,CUST01063,cust709@example.com,Charcoal Grill,Garden Tools,1,199.0,199.0,NorthernYards,Denver,AZ,39552
ORD-305837,2026-05-17,CUST01313,cust1093@example.com,outdoor rug 5x7,Grills & BBQ,1,119.0,119.0,MidwestHome,Miami,WA,90534
ORD-261684,2026-05-17,CUST00085,cust1726@example.com,charcoal grill ,Outdoor Furniture,2,199.0,398.0,NorthernYards,Austin,OR,54252
ORD-772612,2026-05-17,CUST01020,cust1266@example.com,PATIO HEATER,Patio Heaters,2,249.0,498.0,MidwestHome,Denver,OR,64602
ORD-773088,2026-05-17,CUST01411,cust610@example.com,led string lights,Outdoor Furniture,1,24.99,24.99,SouthernShed,Atlanta,MA,63227
ORD-535810,2026-05-17,CUST00654,cust641@example.com,pruning shears,Patio Heaters,1,18.75,18.75,EastsideOutfitters,Atlanta,OR,28830
ORD-237118,2026-05-17,CUST00921,cust956@example.com,fire-pit,Grills & BBQ,2,179.0,358.0,SouthernShed,Austin,IL,41685
ORD-153063,2026-05-17,CUST00328,cust1972@example.com,led string lights,Garden Tools,4,24.99,99.96,MidwestHome,Boston,CO,42541
ORD-427905,2026-05-17,CUST01019,cust1022@example.com,Garden Hose 50ft,Outdoor Furniture,2,29.99,59.98,NorthernYards,Atlanta,NC,71186
